SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C),pH
0.2,0.4,3,3,7
0.2,0.7,10,9,7
0.5,1.5,2.5,1,7
0.2,0.4,7,8.5,7
0.15,0.69,17,21,7
0.22,0.92,15,14,7
0.25,0.4,9.5,9,7
0.25,0.78,11,12,7
0.25,0.72,15,14,7
0.25,0.59,15,15,7
0.88,1.3,18,16,7
0.25,0.75,17,18,7
0.32,1,20,19,7
0.25,0.99,22,24.5,7
0.375,0.95,19,20,7
0.4,1.22,24,25,7
0.35,0.75,24,22,7
0.32,0.62,23.5,20,7
0.35,0.91,26,26,7
0.35,0.78,24,23.5,7
0.375,1.25,26.5,-17.77777778,7
0.4,0.925,29,29,7
0.15,0.8,12,13.5,7
0.15,0.85,17,19.5,7
0.2,0.58,2,0.5,7
0.25,0.48,6,6.5,7
0.25,0.3,3,4,7
0.15,0.68,10,7,7
0.15,0.48,3,-1.111111111,7
0.2,0.78,17,13,7
0.35,0.65,14,13.05,7
0.4,0.9,20,20.5,7
0.4,1.05,27.5,29,7
0.3,0.63,12.5,13,7
0.15,0.5,12,15.5,7
0.25,0.85,10.5,10.5,7
0.25,0.45,5.5,5.5,7
0.35,0.5,8,16,7
0.25,0.25,9,7,7
0.3,0.95,10.5,14.5,7
0.2,0.85,6,9.5,7
0.1,0.3,5,5.5,7
0.3,0.75,8,12,7
0.1,0.85,8,15,7
0.1,1.15,10,13.5,7
0.5,1.7,2.5,1.5,7
0.15,0.4,10,11,7
0.5,0.7,14.5,12.5,7
0.35,0.8,10,7,7
0.3,1,15.5,16,7
0.3,1.15,14.5,12,7
0.3,1.2,19,21,7
0.4,0.85,21,21,7
0.5,1,24,25,7
0.3,0.85,20,22,7
0.45,0.75,23,22.5,7
0.45,0.45,21.5,20.5,7
0.55,1,26.5,27,7
0.55,0.8,26.5,30,7
0.3,0.9,17,-17.77777778,7.5
0.2,0.6,17.5,20.5,7.5
0.3,0.9,26,26,7.5
0.2,0.7,21.5,22,7.5
0.2,0.6,9,4,7.5
0.2,0.6,3,5,7.5
0.2,0.4,7,7.5,7.5
0.15,0.65,10,12,7.5
0.2,0.7,9,13,7.5
0.2,0.6,10,10,7.5
0.15,0.39,5,5,7.5
0.3,0.82,26,26.5,7.5
0.25,0.6,8,8,7.5
0.25,0.78,9,11,7.5
0.2,0.65,4.5,4.5,7.5
0.25,0.7,9,10.5,7.5
0.3,0.41,7.5,8,7.5
0.2,0.72,12,10.5,7.5
0.2,0.28,8,8,7.5
0.2,1.6,15,16,7.5
0.15,0.35,6,4,7.5
0.32,0.52,14,15.5,7.5
0.2,0.55,12.5,13,7.5
0.35,0.8,20.5,18,7.5
0.35,0.95,21,23.5,7.5
0.3,0.5,15.5,15,7.5
0.3,0.7,23,26,7.5
0.325,1.09,26,27,7.5
0.25,0.7,21,21.5,7.5
0.35,0.95,28,29.5,7.5
0.99,0.375,27.5,28,7.5
0.35,1.025,24.5,26.5,7.5
0.28,0.7,21,22,7.5
0.2,0.65,13,11,7.5
0.25,0.6,12,15,7.5
0.15,0.25,10,15,7.5
0.35,0.49,7,7,7.5
0.28,0.45,10,12,7.5
0.3,0.99,7.5,9.5,7.5
0.15,0.68,12.5,12.5,7.5
0.25,0.75,16,18,7.5
0.05,0.35,3,7,7.5
0.25,0.42,9,10,7.5
0.1,0.5,13,7.5,7.5
0.2,0.6,15.5,10,7.5
0.3,0.7,17.5,17,7.5
0.45,0.68,19,18,7.5
0.4,0.8,26,26,7.5
0.45,1,25,24,7.5
0.35,0.95,28.5,31,7.5
0.4,0.95,24.5,22,7.5
0.3,1,23,25,7.5
0.35,0.8,23.5,24,7.5
0.1,0.15,16,17,7.5
0.1,1,12,10,7.5
0.35,0.65,16.5,17.5,7.5
